name,population_size,speed,average_weight,diet,location
Eastern Diamondback Rattlesnake,-,-,-,Carnivore,-
Eastern Fence Lizard,"over 1,000,000",-,15g,Carnivore,-
Echidna,-,18 mph,4kg - 7kg (9lbs - 15lbs),Carnivore,-
Eclectus Parrot,"7,300 – 51,000 mature adults",40 mph,16 ounces,Herbivore,-
Egyptian Cobra,-,-,Up to 20 lbs,Carnivore,-
Electric Catfish,Unknown,-,4.4kg (2lbs),Carnivore,-
Electric Eel,Unknown,5 mph,45+ lbs.,Carnivore,-
English Cocker Spaniel,-,-,15kg (34lbs),Omnivore,-
English Cream Golden Retriever,-,-,75 lbs,Omnivore,-
Entlebucher Mountain Dog,-,-,30kg (65lbs),Omnivore,-
Escolar,unknown,-,-,Carnivore,-
Eurasian Nuthatch,"10,000,000 - 500,000,000",13 mph,0.6-1 ounce,Omnivore,-
European Polecat,-,23 mph,two to three pounds,Carnivore,-
European Wildcat,"500,000",-,eight to 18 pounds,Omnivore,-
Falcon,-,200 mph,0.7kg - 1.2kg (1.5lbs - 2.6lbs),Carnivore,-
Fennec Fox,Unknown,25 mph,1kg - 1.5kg (2.2lbs - 3.3lbs),Omnivore,-
Fer-de-lance Snake,-,-,13lb,Carnivore,-
Fiddler Crab,-,-,1.8 grams,Omnivore,-
Fierce Snake,-,-,-,Carnivore,-
Fisher Cat,"100,000",-,1.4-6.8kg (3-15lbs),Omnivore,-
Fishing Cat,"Less than 10,000",34 mph,5.5kg - 8kg (12lbs - 17.6lbs),Carnivore,-
Flat-Coated Retriever,-,-,32kg (70lbs),Omnivore,-
Florida Woods Cockroach,-,3 mph,0.105 g,Omnivore,-
French Bulldog,-,-,28 lbs,Omnivore,-
Frenchton,-,12 mph,-,Omnivore,-
Freshwater Crocodile,"Less than 100,000 but its conservation status is least concern.",10.56 mph,"159 pounds for males, 88 pounds for females",Carnivore,-
Gecko,-,30 mph,18g (0.5oz),Carnivore,-
German Cockroach,-,3 mph,0.105 g,Omnivore,-
German Pinscher,-,-,16kg (35lbs),Omnivore,-
Ghost Catfish,Unknown,-,Less than an ounce,Carnivore,-
Ghost Crab,"Hundreds of thousands, at least.",10 mph,0.53 – 2.5 ounces,Omnivore,-
Giant African Land Snail,-,0.002 mph,250-450g (8.8-15.9oz),Herbivore,-
Giant Clam,-,-,100-200kg (220-440lbs),Omnivore,-
Giant Schnauzer,-,-,35kg (77lbs),Omnivore,-
Giant Schnoodle,-,-,-,Omnivore,-
Glechon,-,-,35 Lbs,Omnivore,-
Golden Lancehead,"2,000-4,000",-,-,Carnivore,-
Golden-Crowned Flying Fox,"10,000 – 20,000",-,3.1 pounds,Herbivore,-
Gouldian Finch,"2,500",-,14g,Herbivore,-
Grass Carp,Unknown,-,Up to 99 pounds,Omnivore,-
Great Crested Flycatcher,6.7 million,-,27-40g (0.9-1.4oz),Omnivore,-
Groundhog (Woodchuck),Over 200 million,10 mph,10 to 13 pounds,Omnivore,-
Haddock,-,-,2-40 pounds,Carnivore,-
Hardhead Catfish,-,-,1-12 pounds,Omnivore,-
Hawaiian Crow,-,-,1lb - 1.2lbs,Omnivore,-
Hercules Beetle,"Unknown, but the beetle does not have special conservation status.",8.9 mph,"1.2 ounces for male, 0.57 ounces for female",Herbivore,-
Hermit Crab,-,-,200-500g (7-18oz),Omnivore,-
Highland Cattle,-,25 mph,"400-1,000kg (882-2,204lbs)",Herbivore,-
Horseshoe Crab,2.3 to 4.5 million just on the Atlantic coast,-,As much as 9 pounds in the tri-spine horseshoe crab; males of all species smaller,Omnivore,-
House Finch,20 million – 40 million,-,19g – 22g,Herbivore,-
Humpback Whale,"120,000 to 150,000",17 mph,"36,000-99,800kg (40-100tons)",Omnivore,-
Husky Jack,-,-,40 pounds,Omnivore,-
Icelandic Sheepdog,-,21 mph,-,Omnivore,-
Indian Cobra,-,-,-,Omnivore,-
Indian Rhinoceros,-,30 mph,"2,200kg - 3,000kg (4,900lbs - 6,600lbs)",Herbivore,-
Indochinese Tiger,-,60 mph,100kg - 195kg (221lbs - 430lbs),Carnivore,-
Insect,-,-,-,Omnivore,-
Ivory-billed woodpecker,Unknown,-,450-570g,Omnivore,-
Jacana,millions,-,one to nine ounces,Omnivore,-
Jack Russell,-,-,15 pounds,Omnivore,-
Jackabee,-,-,30 lbs,Omnivore,-
Jackal,-,20 mph,6.8-11kg (15-24lbs),Carnivore,-
Jackdaw,Around 100 million,25 mph,8 ounces,Omnivore,-
Jackrabbit,-,45 mph,three to six pounds,Herbivore,-
Jackson’s Chameleon,-,-,90 to 150 grams,Carnivore,-
Jaguarundi Cat,-,40 mph,-,Carnivore,-
Japanese Chin,-,-,4kg (8lbs),Omnivore,-
Japanese Macaque,"50,000",-,5kg - 14kg (11lbs - 31lbs),Omnivore,-
Javan Rhinoceros,-,30 mph,"900kg - 2,300kg (2,000lbs - 5,100lbs)",Herbivore,-
Jonah Crab,Unknown,-,12-19oz,Carnivore,-
Keel-Billed Toucan,-,39 mph,2.1kg - 4kg (4.7lbs - 8.8lbs),Omnivore,-
King Cobra,Unknown,12 mph,-,Carnivore,-
King Crab,-,7 mph,2-8kg (4.4-18lbs),Carnivore,-
LaMancha Goat,Unknown,-,"Average 150 to 165 for males, 125 to 130 for females",Herbivore,-
Lancashire Heeler,-,-,9-17 pounds,Omnivore,-
Lappet-faced Vulture,-,29 mph,9.7 to 20.7 pounds,Carnivore,-
Leaf-Tailed Gecko,-,30 mph,10g - 30g (0.35oz - 1oz),Carnivore,-
Leatherback Sea Turtle,"less than 50,000",6 mph,500 pounds to over 1 ton,Omnivore,-
Leech,Unknown,-,Under 1 ounce,Carnivore,-
Leopard Cat,-,45 mph,2.2kg - 7.5kg (4.9lbs - 17lbs),Carnivore,-
Leopard Gecko,-,-,50 to 80 grams (adults),Carnivore,-
Loach,-,-,0.3lbs-6.6lbs (0.1-3kg),Omnivore,-
Locust,-,-,-,Herbivore,-
Lone Star Tick,-,-,-,Omnivore,-
Lowchen,-,-,18 Lbs,Omnivore,-
Macaque,varies,-,Up to 40 lbs,Carnivore,-
Macaroni Penguin,-,22 mph,3.2-6.4kg (7-14lbs),Carnivore,-
Macaw,-,15 mph,0.9kg - 2kg (2lbs - 4.4lbs),Omnivore,-
Mackenzie Wolf,"40,000+",40 mph,85-153 lbs,Carnivore,-
Madagascar Hissing Cockroach,-,2 mph,15-20 g,Omnivore,-
Magellanic Penguin,-,22 mph,2.7kg - 6.5kg (5.9lbs - 14lbs),Carnivore,-
Maine Coon,-,-,"8-12lbs, up to 15lbs for females and 25lbs for males",Omnivore,-
Malayan Civet,-,-,1.4kg - 4.5kg (3lbs - 10lbs),Carnivore,-
Manchester Terrier,-,-,12 lbs,Omnivore,-
Masked Palm Civet,-,-,1.4kg - 4.5kg (3lbs - 10lbs),Carnivore,-
Mekong Giant Catfish,A few hundred,-,"Up to 646 lbs, possibly more",Herbivore,-
Mexican Alligator Lizard,Unknown,-,21g(0.75oz),Carnivore,-
Mexican Black Kingsnake,-,-,-,Carnivore,-
Mexican Eagle (Northern crested caracara),Unknown,-,1.3kg (3lbs),Carnivore,-
Mexican Free-Tailed Bat,120 to 150 million,47 mph,-,Carnivore,-
Mexican Mole Lizard,-,-,3 oz,Carnivore,-
Miniature Pinscher,-,15 mph,-,Omnivore,-
Moccasin Snake,-,-,-,Carnivore,-
Mola mola (Ocean Sunfish),Unknown,-,"Up to 2,200kg (5,000lbs)",Carnivore,-
Mole Cricket,-,-,0.5 grams,Omnivore,-
Monarch Butterfly,-,12 mph,0.25 - 0.75 grams,Herbivore,-
Moscow Watchdog,-,-,150 lbs,Omnivore,-
Mountain Cur,-,-,-,Omnivore,-
Muntjac,Unknown,-,15-35kg (33-77lbs),Omnivore,-
Natterjack,Unknown,-,0.14 - 0.67 ounces,Carnivore,-
Nicobar pigeon,"The population of is unknown, but it is decreasing and the bird’s conservation status is near threatened. There are about 1000 individuals on Palau as of 2021.",93 mph,16.22 to 21.16 ounces,Omnivore,-
Nile Crocodile,"50,000-70,000 mature adults",22 mph,"500lbs-1,650lbs",Carnivore,-
North American Black Bear,"800,000",30 mph,100kg - 270kg (220lbs - 594lbs),Omnivore,-
Northern Cardinal,Unknown,37 mph,1.58oz,Omnivore,-
Norwich Terrier,-,-,-,Omnivore,-
Nova Scotia Duck Tolling Retriever,-,-,51 lbs,Omnivore,-
Nudibranch,unknown,-2.8 mph,-,Carnivore,-
Ocelot,"800,000",38 mph,11.5kg - 16kg (25lbs - 35lbs),Carnivore,-
Octopus,-,27 mph,5-75kg (11-165lbs),Omnivore,-
Orange-Crowned Warbler,76 million,25 mph,9 grams,Omnivore,-
Oscar Fish,-,60 mph,3.5 pounds,Omnivore,-
Ostrich,-,42 mph,63kg - 130kg (140lbs - 290lbs),Omnivore,-
Peacock,-,10 mph,2.7kg - 6kg (6lbs - 13.2lbs),Omnivore,-
Peacock Butterfly,-,-,less than one ounce,Herbivore,-
Peacock Spider,-,-,-,Carnivore,-
Pelican,-,40 mph,2.7kg - 15kg (6lbs - 33lbs),Omnivore,-
Pembroke Welsh Corgi,-,-,22-30 lbs,Omnivore,-
Pennsylvania Wood Cockroach,-,3 mph,0.105 g,Omnivore,-
Peregrine Falcon,"140,000",242 mph,0.3kg-1.5kg (0.7lbs-3.3lbs),Carnivore,-
Perro De Presa Canario,-,-,143 lbs,Omnivore,-
Peruvian Inca Orchid,"about 1,000",30 mph,-,Omnivore,-
Pesquet’s Parrot (Dracula Parrot),"20,000 to 49,999",-,"20,000 to 49,999",Herbivore,-
Pileated Woodpecker,1.9 million,-,8.8 to 12.3 ounces,Omnivore,-
Pocket Beagle,-,-,15 lbs,Omnivore,-
Pocket Pitbull,-,-,11-22 pounds.,Omnivore,-
Polecat,Unknown,15 mph,2 to 3.5 pounds,Carnivore,-
Pomchi,-,-,-,Omnivore,-
Poochon,-,-,6 to 17 pounds,Omnivore,-
Porcupine,-,2 mph,5.4-16kg (12-35lbs),Omnivore,-
Proboscis Monkey,"7,000",15 mph,7kg - 22kg (15lbs - 48lbs),Omnivore,-
Purple Finch,6.4 million,-,25g,Omnivore,-
Raccoon,-,15 mph,3.5-9kg (7.7-19.8lbs),Omnivore,-
Raccoon Dog,-,25 mph,3kg - 10kg (6.6lbs - 22lbs),Carnivore,-
Red Diamondback Rattlesnake,-,-,-,Carnivore,-
Red Finch,67 million - 1.7 billion in North America,-,0.67 to 0.78 oz,Herbivore,-
Red Tail Boa (common boa),-,-,-,Carnivore,-
Red-Bellied Black Snake,Unknown,-,-,Carnivore,-
Red-winged blackbird,More than 200 million,30 mph,41-71g,Omnivore,-
Redback Spider,"Possibly millions, but its conservation status is not evaluated",-,0.035 ounces,Carnivore,-
Redbone Coonhound,-,-,70 lbs.,Omnivore,-
Redtail Catfish,Unknown,-,40 to 90 pounds,Carnivore,-
Rhinoceros,-,30 mph,"800-3,500kg (1,765-7,716lbs)",Herbivore,-
Rhombic Egg-Eater Snake,Unknown,-,-,Carnivore,-
River Jack Snake,-,-,-,Omnivore,-
Rock Crab,-,-,Approximately 13 ounces,Omnivore,-
Rock Hyrax,Sustainable,18 mph,3kg - 4kg (6.6lbs - 8.8lbs),Omnivore,-
Rock Python,-,-,-,Carnivore,-
Rockfish,More than 400 million fishes,-,770 grams to 5.3 Kgs,Omnivore,-
Rockhopper Penguin,-,-,2kg - 5kg (4.4lbs - 11lbs),Carnivore,-
Sable Black German Shepherd,-,30 mph,-,Omnivore,-
Sand Crab,Unknown,-,Less than 1kg (2lbs),Omnivore,-
Satanic leaf-tailed gecko,"Unknown, conservation status is Least Concern",-,"0.14 to 0.32 ounces, females heavier",Carnivore,-
Scarlet Kingsnake,-,-,-,Carnivore,-
